Dog Names,Nature,Height,Weight,Life Span,Affectionate With Family,Good With Young Children,Good With Other Dogs,Colour,Shedding Level,Coat Grooming Frequency,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Breed Popularity Ranking in India
afghan_hound,Friendly,Large,Heavy,9-11 years,Aloof,Not Child-Friendly,Selective,Various,Moderate,Moderate,Straight,Medium,Very Friendly,Moderate,Indifferent,Highly Adaptable,Willing,Active,Excessive Barker,Moderate,100
african_hunting_dog,Loyal,Medium,Light,12-14 years,Aloof,Moderate,Aggressive,Golden,Heavy,Moderate,Curly,Medium,Approachable,Very Playful,Indifferent,Highly Adaptable,Highly Trainable,Low Energy,Moderate Barker,High Needs,30
airedale,Independent,Small,Heavy,13-15 years,Loving,Kid-Friendly,Sociable,Golden,High,Moderate,Thick,Medium,Cautious,Relaxed,Moderate,Low Adaptability,Independent,Low Energy,Rarely Barks,Moderate,3
basenji,Energetic,Medium,Heavy,10-12 years,Reserved,Not Child-Friendly,Sociable,Golden,High,Moderate,Short,Long,Approachable,Relaxed,Protective,Rigid,Independent,Hyperactive,Quiet,High Needs,52
basset,Energetic,Medium,Heavy,12-14 years,Aloof,Very Kid-Friendly,Sociable,White,High,Moderate,Thick,Medium,Very Friendly,Moderate,Indifferent,Adaptable,Stubborn,Moderate Energy,Excessive Barker,Engaged,67
beagle,Independent,Large,Medium,9-11 years,Friendly,Kid-Friendly,Selective,Brown,Low,Very High,Curly,Medium,Wary,Relaxed,Protective,Highly Adaptable,Willing,Low Energy,Excessive Barker,Low Needs,76
bedlington_terrier,Energetic,Large,Light,12-14 years,Aloof,Tolerant,Pack-Friendly,White,High,High,Curly,Medium,Very Friendly,Moderate,Protective,Rigid,Independent,Active,Frequent Barker,Relaxed,82
bernese_mountain_dog,Friendly,Medium,Light,10-12 years,Loving,Not Child-Friendly,Aggressive,Brown,Low,Moderate,Wavy,Long,Reserved,Very Playful,Moderate,Low Adaptability,Willing,Moderate Energy,Quiet,High Needs,67
black-and-tan_coonhound,Loyal,Medium,Heavy,10-12 years,Aloof,Moderate,Aggressive,Black,Moderate,Moderate,Thick,Short,Approachable,Relaxed,Protective,Highly Adaptable,Trainable,Low Energy,Excessive Barker,Moderate,67
blenheim_spaniel,Gentle,Medium,Medium,10-12 years,Reserved,Moderate,Pack-Friendly,Brown,Heavy,Moderate,Thick,Long,Reserved,Relaxed,Alert,Adaptable,Stubborn,Calm,Rarely Barks,Moderate,16
