Common Name,Scientific Name,Botanical Name,Description,Uses,Origin,Availability in India,Climate,Soil,Additional Info
Alpinia Galanga (Rasna),Alpinia galanga,Alpinia galanga,Upright plant used in Southeast Asian cuisine and traditional medicine.,"Culinary spice, respiratory and digestive treatment in Ayurveda.","South and Southeast Asia, particularly Java, Indonesia.",Southern regions,"Tropical, humid with well-distributed rainfall.","Well-drained, fertile soils rich in organic matter.",Strong taste reminiscent of citrus and black pepper.
Amaranthus Viridis (Arive-Dantu),Amaranthus viridis,Amaranthus viridis,Slender herb used as a leafy vegetable.,"Culinary vegetable, diuretic in traditional medicine.",Tropical and subtropical regions worldwide.,Fields and gardens across India.,Warm with adequate rainfall.,"Adaptable, prefers well-drained soils.",Rich in vitamins and minerals.
Artocarpus Heterophyllus (Jackfruit),Artocarpus heterophyllus,Artocarpus heterophyllus,Large evergreen tree producing the largest tree fruit.,"Culinary use, antimicrobial and antifungal properties.",Western Ghats of India.,"Tropical regions, especially Kerala and Tamil Nadu.","Tropical, high humidity.","Deep, well-drained alluvial soils.","National fruit of Bangladesh, state fruit of Kerala and Tamil Nadu."
Azadirachta Indica (Neem),Azadirachta indica,Azadirachta indica,Fast-growing evergreen tree with small white flowers.,"Medicinal (antibacterial, antifungal), cosmetics, and pesticides.",Indian subcontinent.,"Throughout India, commonly planted along roadsides and in gardens.",Tropical and semi-tropical.,"Well-drained, sandy soils.",Cornerstone of Ayurvedic medicine.
Basella Alba (Basale),Basella alba,Basella alba,Fast-growing vine with heart-shaped leaves.,"Culinary vegetable, skin ailment treatment.",Tropical Asia and Africa.,"South India, home gardens.","Warm, humid tropical climates.","Well-drained, fertile soils rich in organic matter.","Low-maintenance, easily propagated."
Brassica Juncea (Indian Mustard),Brassica juncea,Brassica juncea,Annual herb with yellow flowers and seed pods used for mustard oil.,"Culinary, mustard oil production, medicinal (skin diseases, anti-inflammatory).",Indian subcontinent and Central Asia.,"Punjab, Haryana, Uttar Pradesh.",Temperate and subtropical regions.,"Well-drained, loamy soils with good fertility.","Rich in vitamins, minerals, and antioxidants."
Carissa Carandas (Karanda),Carissa carandas,Carissa carandas,Perennial shrub with thorny branches and oval fruits.,"Pickles, jams, chutneys, treatment for digestive issues and anemia.",Indian subcontinent and Southeast Asia.,"Maharashtra, Rajasthan, Karnataka.","Warm, arid to semi-arid climates.",Well-drained sandy or loamy soils.,Drought-resistant and ornamental.
Citrus Limon (Lemon),Citrus limon,Citrus limon,Small tree with fragrant flowers and acidic yellow fruits.,"Culinary, immunity booster, antimicrobial properties.","Northeast India, Myanmar, or China.","Andhra Pradesh, Maharashtra, Gujarat.",Tropical to subtropical climates.,"Well-drained, fertile soils with good organic content.",Rich in vitamin C.
Ficus Auriculata (Roxburgh Fig),Ficus auriculata,Ficus auriculata,Deciduous tree with large leaves and purple figs.,"Edible fruits, treatment for ulcers and diabetes.",Himalayas and Southeast Asia.,Northeastern and Himalayan regions.,Tropical and subtropical climates.,"Loamy, well-drained soils.",Often planted for ornamental value and shade.
Ficus Religiosa (Peepal Tree),Ficus religiosa,Ficus religiosa,"Large, sacred tree with heart-shaped leaves.","Traditional medicine, oxygen source, religious significance.",Indian subcontinent.,Throughout India near temples and religious sites.,Tropical and subtropical climates.,Tolerant to various soil types.,Known as the 'Tree of Life' in Indian traditions.
Hibiscus Rosa-sinensis,Hibiscus rosa-sinensis,Hibiscus rosa-sinensis,"Tropical shrub with large, showy flowers in various colors.","Ornamental, hair care, and traditional medicine for digestive issues.",Asia.,Widely grown across India in gardens and homes.,Tropical and subtropical.,"Well-drained, fertile soils rich in organic matter.",National flower of Malaysia.
Jasminum (Jasmine),Jasminum spp.,Jasminum spp.,Climbing shrubs or small trees with fragrant white or yellow flowers.,"Perfume industry, religious offerings, and traditional medicine.",South Asia.,"Cultivated in Tamil Nadu, Karnataka, and Andhra Pradesh.",Tropical and subtropical climates.,Well-drained sandy loam soils.,Highly valued for its aromatic flowers.
Mangifera Indica (Mango),Mangifera indica,Mangifera indica,"Large evergreen tree with sweet, fleshy fruit.","Edible fruit, traditional medicine, and timber.",Indian subcontinent.,"Grown throughout India, especially in Uttar Pradesh and Andhra Pradesh.",Tropical and subtropical.,"Well-drained, deep alluvial soils.",National fruit of India.
Mentha (Mint),Mentha spp.,Mentha spp.,Perennial herb with aromatic leaves.,"Culinary herb, essential oils, and traditional medicine.",Europe and Asia.,Cultivated in Uttar Pradesh and Punjab.,Temperate and subtropical climates.,"Moist, fertile soils with good drainage.",Known for its cooling properties.
