Disease,Description,Natural Therapy (Plants),Yoga (Beginner),Beginner Images,Yoga (Moderate),Moderate Images,Yoga (Advanced),Advanced Images
Diabetes,High blood sugar levels due to insulin resistance or deficiency.,"Moringa Oleifera, Jamun, Tulsi",Balasana,balasana.webp,Ardha Matsyendrasana,Ardha Matsyendrasana.jpeg,Paschimottanasana,Paschimottanasana.jpeg
Hypertension,High blood pressure leading to cardiovascular risks.,"Garlic, Tulsi, Lemon",Sukhasana (Easy Pose),Sukhasana.webp,Vajrasana,Vajrasana.jpeg,Sirsasana (Headstand),Sirsasana.jpeg
Digestive Disorders,"Issues like indigestion, bloating, and constipation.","Mint, Ginger, Betel",Pavanamuktasana,Pavanamuktasana.jpeg,Bhujangasana,Bhujangasana.jpeg,Mayurasana (Peacock),Mayurasana.jpeg
Skin Infections,Bacterial or fungal infections causing rashes or irritation.,"Neem, Turmeric, Sandalwood",Bhujangasana,Bhujangasana.jpeg,Dhanurasana,Dhanurasana.jpeg,Chakrasana (Wheel),Chakrasana.jpeg
Respiratory Issues,"Asthma, bronchitis, or congestion due to inflammation.","Tulsi, Ginger, Eucalyptus",Anulom Vilom Pranayama,Anulom Vilom Pranayama.jpeg,Bhastrika Pranayama,Bhastrika Pranayama.jpeg,Kapal Bhati Pranayama,Kapal Bhati Pranayama.jpeg
Arthritis,Joint inflammation causing pain and stiffness.,"Turmeric, Ginger, Ashwagandha",Marjariasana,Marjariasana.jpeg,Gomukhasana,Gomukhasana.jpeg,Natarajasana,Natarajasana.jpeg
Anxiety & Stress,Mental health issues causing restlessness and tension.,"Tulsi, Jasmine, Ashwagandha",Shavasana,Shavasana.webp,Balasana,Balasana.webp,Sirsasana,Sirsasana.jpeg
Insomnia,Difficulty falling or staying asleep.,"Chamomile, Tulsi, Lavender",Shavasana,Shavasana.webp,Viparita Karani,Viparita Karani.jpeg,Yoga Nidra,Yoga Nidra.webp
Obesity,Excess body fat leading to health complications.,"Ginger, Lemon, Fenugreek",Surya Namaskar,Surya Namaskar.png,Trikonasana,Trikonasana.jpeg,Navasana (Boat Pose),Navasana.jpeg
Cold & Cough,Viral infections causing throat irritation and mucus buildup.,"Tulsi, Ginger, Lemon",Anulom Vilom Pranayama,Anulom Vilom Pranayama.jpeg,Bhastrika Pranayama,Bhastrika Pranayama.jpeg,Kapal Bhati Pranayama,Kapal Bhati Pranayama.jpeg
Liver Disorders,Issues like fatty liver or hepatitis affecting liver function.,"Neem, Turmeric, Amla",Ardha Matsyendrasana,Ardha Matsyendrasana.jpeg,Bhujangasana,Bhujangasana.jpeg,Mayurasana,Mayurasana.jpeg
Kidney Stones,Hard deposits in kidneys causing pain and urinary issues.,"Pomegranate, Basil, Lemon",Pavanamuktasana,Pavanamuktasana.jpeg,Balasana,Balasana.jpeg,Paschimottanasana,Paschimottanasana.jpeg
Diabetes,High blood sugar levels due to insulin resistance or deficiency.,"Moringa Oleifera, Jamun, Tulsi",Balasana,balasana.webp,Ardha Matsyendrasana,Ardha Matsyendrasana.jpeg,Paschimottanasana,Paschimottanasana.jpeg
Anemia,Low hemoglobin levels causing fatigue and weakness.,"Spinach, Beetroot, Fenugreek",Surya Namaskar,Surya Namaskar.png,Vajrasana,Vajrasana.jpeg,Sarvangasana,Sarvangasana.jpeg
Allergies,Immune system overreaction to allergens causing rashes or sneezing.,"Neem, Turmeric, Tulsi",Bhujangasana,Bhujangasana.jpeg,Dhanurasana,Dhanurasana.jpeg,Chakrasana,Chakrasana.jpeg
Menstrual Cramps,Painful cramps during menstruation.,"Ginger, Mint, Fenugreek",Balasana,balasana.webp,Supta Baddha Konasana,Supta Baddha Konasana.jpeg,Baddha Konasana,Baddha Konasana.jpeg
